,level_0,index,song,artist
711,4996,5446,who i want,lil baby
712,4863,10178,my number,major lazer
713,3757,3667,verte ir,dj luian
714,3595,6131,nothing compares  bonus track,the weeknd
715,680,3118,twerkulator,city girls
716,3408,1841,9,drake
717,2769,9563,hollywood,gorillaz
718,488,5714,you ain't gotta lie (momma said),kendrick lamar
719,3546,609,boyfriend,dove cameron
720,2301,2203,mamacita,black eyed peas
721,795,5843,poltergeist!,corpse
722,4628,8240,i'm ready,nav
723,2839,1708,peta,roddy ricch
724,1301,6887,good lovin,ludacris
725,4209,9389,waiting for never,post malone
726,4235,3540,1 scale,young dolph
727,1869,2360,nc17,travis scott
728,2641,949,myself,nav
